Word,Time,Interval
PLEASE,3393,
POSSIBLE,4379,986
PASSPORT,6056,1677
PUPPY,7044,988
PRINCE,9701,2657
PRALINE,11708,2007
POOF,13502,1794
PANTS,NaN,NaN
PREMIUM,NaN,NaN
PRIMARY,NaN,NaN
PARTY,21359,NaN
